# Conserved Unique Peptide Patterns (cupp) Prediction!
# Version: 4.0.0
# Library file version: 0.0
# Meta file version: 0.0
#Significant	Accession	Family	CUPP_Group	CUPP_Branch	Score	EC_Best	SubFamily_Best	Start	End	Coverage	Protein_Length	EC_Full	SubFamily_Full
	RICKED_000320-T1 RICKED_000320	GH43	GH43:79.1	GH43*7	258.555	GH43:3.2.1.145	GH43_24	62	277	165	453	GH43:3.2.1.145	GH43_24
	RICKED_000322-T1 RICKED_000322	GH43	GH43:79.1	GH43*7	254.421	GH43:3.2.1.145	GH43_24	61	276	164	452	GH43:3.2.1.145	GH43_24
!	RICKED_000876-T1 RICKED_000876	GH43	!GH43:162.1	GH43*17	0.421		!GH43_26	311	329	19	656		GH43_26
!	RICKED_001291-T1 RICKED_001291	GH43	!GH43:162.1	GH43*17	1.532		!GH43_26	311	344	34	731		GH43_26
!	RICKED_001617-T1 RICKED_001617	GH43	!GH43:162.1	GH43*17	0.783		!GH43_26	311	335	25	722		GH43_26
!	RICKED_001885-T1 RICKED_001885	GH43	!GH43:162.1	GH43*17	1.005		!GH43_26	311	338	28	725		GH43_26
!	RICKED_002099-T1 RICKED_002099	GH43	!GH43:162.1	GH43*17	0.588		!GH43_26	311	332	22	719		GH43_26
!	RICKED_002929-T1 RICKED_002929	GH43	!GH43:246.1	GH43*42	1.673		!GH43_30	113	245	31	362		GH43_30
!	RICKED_002979-T1 RICKED_002979	GH43	!GH43:162.1	GH43*17	0.421		!GH43_26	311	329	19	706		GH43_26
!	RICKED_003065-T1 RICKED_003065	GH43	!GH43:162.1	GH43*17	1.005		!GH43_26	311	338	28	726		GH43_26
!	RICKED_003120-T1 RICKED_003120	GH43	!GH43:162.1	GH43*17	1.255		!GH43_26	311	341	31	728		GH43_26
	RICKED_003327-T1 RICKED_003327	GH43	GH43:219.1	GH43*67	9.789		GH43_23	64	261	79	283		GH43_23
	RICKED_003617-T1 RICKED_003617	GH43	GH43:25.1	GH43*5	23.010	GH43:3.2.1.99	GH43_6	46	309	94	322	GH43:3.2.1.99	GH43_6
!	RICKED_003855-T1 RICKED_003855	GH43	!GH43:162.1	GH43*17	0.783		!GH43_26	311	335	25	722		GH43_26
!	RICKED_003886-T1 RICKED_003886	GH43	!GH43:162.1	GH43*17	0.588		!GH43_26	44	65	22	452		GH43_26
	RICKED_004107-T1 RICKED_004107	GH43	GH43:216.1	GH43*31	141.196			63	234	99	259		
!	RICKED_004345-T1 RICKED_004345	GH43	!GH43:162.1	GH43*17	0.421		!GH43_26	44	62	19	450		GH43_26
!	RICKED_004717-T1 RICKED_004717	GH43	!GH43:162.1	GH43*17	0.783		!GH43_26	311	335	25	723		GH43_26
!	RICKED_004955-T1 RICKED_004955	GH43	!GH43:162.1	GH43*17	1.005		!GH43_26	311	338	28	725		GH43_26
!	RICKED_004956-T1 RICKED_004956	GH43	!GH43:162.1	GH43*17	1.005		!GH43_26	311	338	28	725		GH43_26
	RICKED_005062-T1 RICKED_005062	GH43	GH43:65.1	GH43*31	11.483	GH43:3.2.1.55	GH43_21	84	236	42	303	GH43:3.2.1.55	GH43_21
!	RICKED_005755-T1 RICKED_005755	GH43	!GH43:162.1	GH43*17	1.005		!GH43_26	311	338	28	725		GH43_26
	RICKED_005812-T1 RICKED_005812	GH43	GH43:86.1	GH43*32	190.208	GH43:3.2.1.0	GH43_26	30	310	174	328	GH43:3.2.1.0	GH43_26
!	RICKED_005978-T1 RICKED_005978	GH43	!GH43:162.1	GH43*17	0.421		!GH43_26	36	54	19	440		GH43_26
	RICKED_006254-T1 RICKED_006254	GH43	GH43:86.1	GH43*32	168.774	GH43:3.2.1.0	GH43_26	27	307	152	325	GH43:3.2.1.0	GH43_26
!	RICKED_006665-T1 RICKED_006665	GH43	!GH43:92.1	GH43*96	1.274		!GH43_26	324	406	30	591		GH43_26
!	RICKED_006720-T1 RICKED_006720	GH43	!GH43:162.1	GH43*17	0.783		!GH43_26	311	335	25	722		GH43_26
	RICKED_007165-T1 RICKED_007165	GH43	GH43:25.1	GH43*5	67.513	GH43:3.2.1.99	GH43_6	35	300	115	317	GH43:3.2.1.99	GH43_6
!	RICKED_007365-T1 RICKED_007365	GH43	!GH43:162.1	GH43*17	0.783		!GH43_26	311	335	25	722		GH43_26
!	RICKED_007366-T1 RICKED_007366	GH43	!GH43:162.1	GH43*17	0.783		!GH43_26	311	335	25	722		GH43_26
!	RICKED_007466-T1 RICKED_007466	GH43	!GH43:162.1	GH43*17	0.465		!GH43_26	314	335	21	501		GH43_26
!	RICKED_007711-T1 RICKED_007711	GH43	!GH43:162.1	GH43*17	0.783		!GH43_26	311	335	25	706		GH43_26
	RICKED_008084-T1 RICKED_008084	GH43	GH43:50.1	GH43*15	209.780		GH43_13	17	302	192	541		GH43_13
!	RICKED_008116-T1 RICKED_008116	GH43	!GH43:162.1	GH43*17	1.005		!GH43_26	311	338	28	726		GH43_26
!	RICKED_008556-T1 RICKED_008556	GH43	!GH43:162.1	GH43*17	0.783		!GH43_26	311	335	25	722		GH43_26
!	RICKED_008560-T1 RICKED_008560	GH43	!GH43:162.1	GH43*17	0.783		!GH43_26	134	158	25	468		GH43_26
!	RICKED_008697-T1 RICKED_008697	GH43	!GH43:162.1	GH43*17	0.783		!GH43_26	311	335	25	723		GH43_26
!	RICKED_009254-T1 RICKED_009254	GH43	!GH43:162.1	GH43*17	0.783		!GH43_26	44	68	25	441		GH43_26
!	RICKED_009399-T1 RICKED_009399	GH43	!GH43:258.1	GH43*42	1.112			109	298	25	348		
!	RICKED_009432-T1 RICKED_009432	GH43	!GH43:162.1	GH43*17	0.783		!GH43_26	311	335	25	722		GH43_26
!	RICKED_009433-T1 RICKED_009433	GH43	!GH43:162.1	GH43*17	0.783		!GH43_26	311	335	25	722		GH43_26
!	RICKED_009453-T1 RICKED_009453	GH43	!GH43:162.1	GH43*17	0.783		!GH43_26	311	335	25	722		GH43_26
!	RICKED_009691-T1 RICKED_009691	GH43	!GH43:258.1	GH43*42	1.711			128	325	41	374		
!	RICKED_009804-T1 RICKED_009804	GH43	!GH43:162.1	GH43*17	0.783		!GH43_26	311	335	25	722		GH43_26
!	RICKED_009886-T1 RICKED_009886	GH43	!GH43:162.1	GH43*17	0.783		!GH43_26	311	335	25	722		GH43_26
!	RICKED_010361-T1 RICKED_010361	GH43	!GH43:162.1	GH43*17	1.255		!GH43_26	311	341	31	574		GH43_26
!	RICKED_010502-T1 RICKED_010502	GH43	!GH43:162.1	GH43*17	0.588		!GH43_26	311	332	22	689		GH43_26
!	RICKED_010553-T1 RICKED_010553	GH124	!GH124:1.1	GH124*0	4.509	!GH124:3.2.1.4		5	98	71	491	GH124:3.2.1.4	
!	RICKED_010602-T1 RICKED_010602	GH43	!GH43:162.1	GH43*17	0.588		!GH43_26	304	325	22	469		GH43_26
!	RICKED_011230-T1 RICKED_011230	GH43	!GH43:162.1	GH43*17	1.005		!GH43_26	311	338	28	725		GH43_26
!	RICKED_011638-T1 RICKED_011638	GH43	!GH43:162.1	GH43*17	0.783		!GH43_26	311	335	25	722		GH43_26
!	RICKED_011948-T1 RICKED_011948	GH43	!GH43:16.1	GH43*64	0.713		!GH43_4	319	420	30	745		GH43_4
!	RICKED_012071-T1 RICKED_012071	GH43	!GH43:162.1	GH43*17	0.421		!GH43_26	311	329	19	725		GH43_26
!	RICKED_012335-T1 RICKED_012335	GH43	!GH43:162.1	GH43*17	0.783		!GH43_26	311	335	25	722		GH43_26
!	RICKED_012399-T1 RICKED_012399	GH43	!GH43:162.1	GH43*17	3.330		GH43_26	314	362	49	630		GH43_26
	RICKED_012429-T1 RICKED_012429	GH43	GH43:25.1	GH43*5	141.669	GH43:3.2.1.99	GH43_6	38	320	141	331	GH43:3.2.1.99	GH43_6
!	RICKED_012559-T1 RICKED_012559	GH43	!GH43:162.1	GH43*17	0.588		!GH43_26	311	332	22	688		GH43_26
!	RICKED_012793-T1 RICKED_012793	GH43	!GH43:162.1	GH43*17	1.005		!GH43_26	311	338	28	665		GH43_26
!	RICKED_012796-T1 RICKED_012796	GH43	!GH43:162.1	GH43*17	0.588		!GH43_26	311	332	22	719		GH43_26
